"_id","Name","Address","mob_no","Email_ID","DOB","Gender","Blood_Group","Course","Enrollment_Year","Enrollment_No","Education","Known_language","Hobbies","mob_No"
"5e01fcb8951cac7c7483be2f","{""first_name"":""Kanjari"",""last_name"":""Patel""}","{""Residential_add"":""Rajasthan"",""Permanent_add"":""Uttar Pradesh""}","[""+234 225 101 0752"",""+86 418 698 1822""]","sed.hendrerit@augueidante.edu","2013-06-20","Male","A+","MCA","2020","19138543","{""Post_Graduation"":""Auctor Velit Eget Incorporated"",""PG_percentage"":41,""Under_Graduation"":""Cras Pellentesque Industries"",""UG_percentage"":65,""HSC"":""At Nisi Cum Corp."",""HSC_percentage"":94,""SSC"":""Mattis Ornare Lectus Institute"",""SSC_percentage"":55}","[""Tswana"",""Kashmiri"",""Armenian""]","[""Sigging"",""Dancing"",""Swimming""]",
"5e01fcb8951cac7c7483be28","{""first_name"":""Gitika"",""last_name"":""Khan""}","{""Residential_add"":""Maharastra"",""Permanent_add"":""West Bengal""}","[""+1 501 394 3288"",""+55 666 271 2458""]","ligula@non.com","2000-07-07","Male","B-","MCA","2020","27851989","{""Post_Graduation"":""Mauris Incorporated"",""PG_percentage"":85,""Under_Graduation"":""Morbi Quis Urna Inc."",""UG_percentage"":39,""HSC"":""Metus Aenean Sed Consulting"",""HSC_percentage"":96,""SSC"":""Elit Corporation"",""SSC_percentage"":81}","[""Albanian"",""Kyrgyz"",""Kannada""]","[""Sigging"",""Reading"",""Writing""]",
"5e01fcb8951cac7c7483be2b","{""first_name"":""Devnarayan"",""last_name"":""Patel""}","{""Residential_add"":""Gujarat"",""Permanent_add"":""Tamil Nadu""}","[""+221 667 417 4432"",""+261 187 656 5373""]","libero.Integer@gravida.ca","1992-08-13"," Female","O+","MCA","2019","41897427","{""Post_Graduation"":""Risus Nulla Industries"",""PG_percentage"":52,""Under_Graduation"":""Sem Company"",""UG_percentage"":95,""HSC"":""Ipsum Porta Elit Incorporated"",""HSC_percentage"":95,""SSC"":""Leo In Industries"",""SSC_percentage"":67}","[""Finnish"",""Gagauz"",""Telugu""]","[""Swimming"",""Dancing"",""Sigging""]",
"5e01fcb8951cac7c7483be3e","{""first_name"":""Karabi"",""last_name"":""Singh""}","{""Residential_add"":""Uttar Pradesh"",""Permanent_add"":""Maharastra""}","[""+48 947 611 7566"",""+62 820 961 9133""]","Sed.id@sedsapienNunc.com","2015-08-12"," Female","A+","MCA","2019","14360923","{""Post_Graduation"":""Congue Elit Sed Inc."",""PG_percentage"":57,""Under_Graduation"":""Et Pede Nunc PC"",""UG_percentage"":89,""HSC"":""Magna Duis Ltd"",""HSC_percentage"":47,""SSC"":""Senectus Et LLP"",""SSC_percentage"":94}","[""Guaraní"",""Punjabi"",""Belarusian""]","[""Swimming"",""Reading"",""Dancing""]",
"5e01fcb8951cac7c7483be48","{""first_name"":""Indrani"",""last_name"":""Kumar""}","{""Residential_add"":""Uttar Pradesh"",""Permanent_add"":""Punjab""}","[""+975 626 514 2921"",""+62 260 957 3687""]","nonummy@montesnasceturridiculus.com","1999-12-19","Male","B-","MCA","2019","18108915","{""Post_Graduation"":""Aliquam Industries"",""PG_percentage"":72,""Under_Graduation"":""Imperdiet Ornare Corporation"",""UG_percentage"":96,""HSC"":""Porttitor Eros Nec Company"",""HSC_percentage"":57,""SSC"":""Dapibus Ligula Inc."",""SSC_percentage"":78}","[""Khmer"",""Malayalam"",""Swedish""]","[""Dancing"",""Swimming"",""Reading""]",
"5e01fcb8951cac7c7483be37","{""first_name"":""Meher"",""last_name"":""Singh""}","{""Residential_add"":""Madhya Pradesh"",""Permanent_add"":""Bihar""}","[""+63 687 337 1291"",""+66 970 225 6855""]","urna.et.arcu@aliquetodio.org","2017-08-30","Male","O+","MCA","2019","43658875","{""Post_Graduation"":""Dolor LLP"",""PG_percentage"":77,""Under_Graduation"":""Sit Amet Institute"",""UG_percentage"":41,""HSC"":""Risus Morbi Metus PC"",""HSC_percentage"":89,""SSC"":""Purus Maecenas Libero LLP"",""SSC_percentage"":93}","[""Northern Sotho"",""Haitian Creole"",""Pashto""]","[""Dancing"",""Swimming"",""Sigging""]",
"5e01fcb8951cac7c7483be42","{""first_name"":""Tarangini"",""last_name"":""Khan""}","{""Residential_add"":""Haryana"",""Permanent_add"":""Madhya Pradesh""}","[""+351 983 176 4874"",""+58 671 794 8755""]","mauris@dictumsapienAenean.org","1991-04-01"," Female","O+","MCA","2020","10801036","{""Post_Graduation"":""Tincidunt Nibh Phasellus LLC"",""PG_percentage"":55,""Under_Graduation"":""Vulputate Velit Institute"",""UG_percentage"":61,""HSC"":""Nisi Mauris Nulla PC"",""HSC_percentage"":86,""SSC"":""Commodo At Libero Consulting"",""SSC_percentage"":59}","[""Pashto"",""Burmese"",""Danish""]","[""Sigging"",""Reading"",""Dancing""]",
"5e01fcb8951cac7c7483be58","{""first_name"":""Mannith"",""last_name"":""Patel""}","{""Residential_add"":""West Bengal"",""Permanent_add"":""Uttar Pradesh""}","[""+86 949 136 3474"",""+63 683 782 3240""]","Sed@arcu.ca","2013-07-04"," Female","A+","MCA","2020","50462816","{""Post_Graduation"":""Semper Cursus LLP"",""PG_percentage"":59,""Under_Graduation"":""Per Foundation"",""UG_percentage"":81,""HSC"":""Lorem Institute"",""HSC_percentage"":53,""SSC"":""Quis Foundation"",""SSC_percentage"":55}","[""Kashmiri"",""Hindi"",""Japanese""]","[""Reading"",""Dancing"",""Sigging""]",
"5e01fcb8951cac7c7483be63","{""first_name"":""Rachana"",""last_name"":""Ismail""}","{""Residential_add"":""Andhra Pradesh"",""Permanent_add"":""Madhya Pradesh""}","[""+55 839 235 6285"",""+86 222 214 2997""]","sem.Nulla@Donectempus.org","2000-05-08"," Female","A+","MCA","2019","30425485","{""Post_Graduation"":""Velit Justo PC"",""PG_percentage"":61,""Under_Graduation"":""Elementum Purus Accumsan Foundation"",""UG_percentage"":44,""HSC"":""Velit LLC"",""HSC_percentage"":98,""SSC"":""Fusce Fermentum Fermentum Associates"",""SSC_percentage"":91}","[""Croatian"",""Dari"",""Marathi""]","[""Sigging"",""Reading"",""Dancing""]",
"5e01fcb8951cac7c7483be75","{""first_name"":""Dharmadas"",""last_name"":""Kumar""}","{""Residential_add"":""Odisha"",""Permanent_add"":""Maharastra""}","[""+84 359 231 3449"",""+30 632 642 4319""]","blandit.at.nisi@ipsumdolor.co.uk","2017-05-01"," Female","O+","MCA","2020","47590572","{""Post_Graduation"":""Amet Faucibus Ut Incorporated"",""PG_percentage"":72,""Under_Graduation"":""Consectetuer Cursus Institute"",""UG_percentage"":71,""HSC"":""Diam Consulting"",""HSC_percentage"":97,""SSC"":""Amet Foundation"",""SSC_percentage"":40}","[""Kurdish"",""Japanese"",""West Frisian""]","[""Sigging"",""Writing"",""Dancing""]",
"5e01fcb8951cac7c7483be6d","{""first_name"":""Shrigeeta"",""last_name"":""Singh""}","{""Residential_add"":""Uttar Pradesh"",""Permanent_add"":""Chandigarh""}","[""+57 408 561 3033"",""+45 251 407 3679""]","vitae.odio.sagittis@velarcueu.ca","2012-03-22","Male","B-","MCA","2020","11901321","{""Post_Graduation"":""Nunc Mauris Inc."",""PG_percentage"":82,""Under_Graduation"":""Vitae Velit Inc."",""UG_percentage"":80,""HSC"":""Nascetur Ridiculus Mus LLP"",""HSC_percentage"":86,""SSC"":""Ut Ipsum Ac Corporation"",""SSC_percentage"":51}","[""Hindi"",""Punjabi"",""Tamil""]","[""Writing"",""Dancing"",""Swimming""]",
"5e01fcb8951cac7c7483be71","{""first_name"":""Indulal"",""last_name"":""Patel""}","{""Residential_add"":""Punjab"",""Permanent_add"":""Uttar Pradesh""}","[""+51 136 682 8744"",""+351 396 900 1045""]","at.velit.Pellentesque@aliquetsem.net","1990-10-20"," Female","B+","MCA","2020","34063599","{""Post_Graduation"":""Ullamcorper Duis At Corp."",""PG_percentage"":100,""Under_Graduation"":""Purus Consulting"",""UG_percentage"":77,""HSC"":""Massa Inc."",""HSC_percentage"":89,""SSC"":""Pede Industries"",""SSC_percentage"":76}","[""Punjabi"",""Chinese"",""Dari""]","[""Writing"",""Swimming"",""Reading""]",
"5e01fcb8951cac7c7483be79","{""first_name"":""Apurva"",""last_name"":""Jain""}","{""Residential_add"":""Assam"",""Permanent_add"":""Delhi""}","[""+86 121 291 7436"",""+62 103 379 2253""]","iaculis.lacus@nunc.org","1999-05-27"," Female","O+","MCA","2019","20510482","{""Post_Graduation"":""Vestibulum Associates"",""PG_percentage"":63,""Under_Graduation"":""Gravida Company"",""UG_percentage"":100,""HSC"":""Vitae Foundation"",""HSC_percentage"":47,""SSC"":""Metus Limited"",""SSC_percentage"":67}","[""Luxembourgish"",""Bislama"",""Mongolian""]","[""Swimming"",""Sigging"",""Dancing""]",
"5e01fcb8951cac7c7483be7e","{""first_name"":""Ranjeet"",""last_name"":""Patel""}","{""Residential_add"":""Chhattisgarh"",""Permanent_add"":""West Bengal""}","[""+84 560 955 7718"",""+46 757 227 9647""]","ornare.egestas.ligula@eleifendnondapibus.ca","2016-09-05"," Female","B+","MCA","2020","40346561","{""Post_Graduation"":""Cras Vehicula Aliquet Foundation"",""PG_percentage"":60,""Under_Graduation"":""Etiam Gravida LLP"",""UG_percentage"":92,""HSC"":""Morbi Vehicula Pellentesque Incorporated"",""HSC_percentage"":67,""SSC"":""Felis PC"",""SSC_percentage"":44}","[""Persian"",""Tswana"",""English""]","[""Reading"",""Swimming"",""Dancing""]",
"5e01fcb8951cac7c7483be82","{""first_name"":""Nityanand"",""last_name"":""Khan""}","{""Residential_add"":""Assam"",""Permanent_add"":""Uttar Pradesh""}","[""+351 501 324 4395"",""+86 304 221 6804""]","dolor@facilisismagnatellus.net","2007-06-06","Male","B-","MCA","2020","38646990","{""Post_Graduation"":""Vel Faucibus Id Corporation"",""PG_percentage"":87,""Under_Graduation"":""Nulla Interdum Curabitur Incorporated"",""UG_percentage"":84,""HSC"":""Facilisi Sed Neque Corporation"",""HSC_percentage"":67,""SSC"":""Semper Egestas Company"",""SSC_percentage"":83}","[""English"",""Papiamento"",""Fijian""]","[""Sigging"",""Swimming"",""Dancing""]",
"5e01fcb8951cac7c7483be73","{""first_name"":""Neelkanta"",""last_name"":""Singh""}","{""Residential_add"":""Karnataka"",""Permanent_add"":""Kerala""}","[""+27 102 440 3892"",""+62 845 347 0319""]","ante.Nunc@aauctor.org","1993-12-26","Male","AB+","MCA","2019","50273682","{""Post_Graduation"":""Elementum Associates"",""PG_percentage"":66,""Under_Graduation"":""Id Mollis Nec Limited"",""UG_percentage"":82,""HSC"":""Egestas Company"",""HSC_percentage"":96,""SSC"":""Non LLC"",""SSC_percentage"":63}","[""Finnish"",""Portuguese"",""West Frisian""]","[""Dancing"",""Sigging"",""Swimming""]",
"5e0498987651d6fdf7c7d98e","{""first_Name"":""rohan"",""last_Name"":""patel""}","{""Residential_add"":""Ahmedabad"",""Permanent_add"":""Surat""}",,"rohan@gmail.com","1997-11-22","Male","A+","MCA","2017-09-09","17181922","{""Post_Graduation"":""NIrma"",""PG_percentage"":""85"",""Under_Graduation"":""NIrma"",""UG_percentage"":""75"",""HSC"":""GSEB"",""HSC_percentage"":""80"",""SSC"":""GSEB"",""SSC_percentage"":""76""}","[""English"",""Hindi"",""Gujarati""]","[""Reading"",""Dancing"",""Swimming""]","[""9876543210"",""7897987979""]"
